Condition,Voice_Sex,Voice,duration_ms,pitch_mean,pitch_stdev,intonation,glide,formant_dispersion,HNR,jitter,shimmer,alpha_ratio,Trustworthiness_VAS,Dominance_VAS,Attractiveness_VAS,Trustworthiness_z,Dominance_z,Attractiveness_z
RS,Male,gm_M18,2163.809524,119.0112093,28.88118084,184.0699546,-15.73908531,1047.61229,8.809033612,0.013135269,0.051044196,1.58157108,291.9516129032258,242.9,231.15,0.33479605261106604,-0.05840159610883742,0.1417134341563912
RS,Male,gm_M19,2482.675737,120.5067314,99.64693172,468.4450456,55.46664992,1018.891319,8.560576163,0.014707574,0.037712076,1.705788981,249.74193548387098,223.51666666666668,223.33333333333334,-0.15943087817779628,-0.21683813836542837,-0.035887648964229274
RS,Male,gm_M20,2124.580499,134.6939079,28.25743194,164.399696,90.51991491,1107.187128,8.675739527,0.012173022,0.050639251,1.556603996,335.61290322580646,232.53333333333333,253.1,0.6844985869949907,-0.11661579345747207,0.30830028409478266
RS,Male,gm_M21,1979.455782,90.70458142,9.918183426,41.56084528,-18.79028462,1008.329072,7.765463992,0.014446713,0.067155402,1.412057027,267.35483870967744,283.56666666666666,219.46666666666667,0.07754738704033913,0.2695102915671082,0.004779178240293237
RS,Male,gm_M22,2279.115646,91.28814773,5.221796177,28.20799836,-6.459329708,1028.052366,9.247037548,0.011214812,0.038341145,1.55889853,217.01612903225808,196.56666666666666,220.48333333333332,-0.39016409384629314,-0.4365689894283489,-0.011850115144746346
RS,Male,gm_M23,2214.285714,123.2103721,43.07408476,239.9468189,-35.43570876,1132.503481,10.78562942,0.013307001,0.037271877,1.891866712,268.61290322580646,188.58333333333334,218.33333333333334,0.05274879408427245,-0.47552104084939434,-0.08051137886740214
RW,Female,ARD22,333.7641723,221.6679445,52.05989044,202.2586751,1.025835645,1133.041933,16.02797151,0.007330264,0.040387859,2.41219973,203.98333333333332,265.3833333333333,131.1,-0.4389266798677633,0.2115752374787199,-0.9297602954460665
RW,Female,CFY08,377.1655329,195.9286796,19.03644926,59.0346958,32.45996303,973.0060666,16.32553174,0.007744829,0.023234292,2.662732139,252.18333333333334,276.26666666666665,202.13333333333333,-0.045362286996969495,0.2658154058063666,-0.25575796084821883
RW,Female,CMN17,390.6575964,230.6165086,46.30967422,131.8842895,-73.45381887,1075.526699,13.79551576,0.009698942,0.033425471,2.198952098,312.15,292.71666666666664,236.33333333333334,0.5394076826158806,0.4348716055862416,0.08185854765312939
RW,Female,DGA30,406.2358277,202.9544783,40.99828221,145.9455048,-88.3914303,990.6257507,9.684631099,0.008032456,0.036821286,1.519291942,238.28333333333333,403,165.38333333333333,-0.16926684484987597,1.3230959668855213,-0.5675147274617214
RW,Female,DKY26,407.3469388,254.778759,26.16786573,87.69529841,-52.84294648,996.2366101,18.09205812,0.005705479,0.030133958,1.77712741,338.8333333333333,234.53333333333333,297.25,0.7651985084697542,-0.07324859264120326,0.7126372655242188
RW,Female,JJE21,456.3945578,212.6029527,65.24279481,301.8636937,-82.25642581,1027.528271,16.47448865,0.006039148,0.019874305,1.776636954,299.26666666666665,242.5,245.85,0.39846003017592885,0.03557847545831471,0.20675768099172154
RW,Female,JRA04,498.4353741,220.6623704,8.444956361,29.69294049,20.70245564,988.717101,20.42519327,0.004772981,0.021480072,2.040257131,256.8833333333333,237.66666666666666,206.53333333333333,0.023922901956115926,-0.03323930577809727,-0.16039141848454655
RW,Female,KDE26,373.8321995,274.63430519999997,75.83712721,209.4791167,115.9659543,959.2826135,11.60437989,0.009711567,0.06270124,1.56352455,313.6666666666667,309.43333333333334,285.3833333333333,0.5569522314294443,0.5225251486204361,0.620749107108943
RW,Female,MKY08,405.170068,197.656055,21.04967906,62.70605182,-42.66739171,966.151252,12.92517902,0.006792519,0.034012714,1.839921104,274.98333333333335,345.76666666666665,184.96666666666667,0.17770742848200216,0.8959727034527702,-0.4442066705111033
RW,Female,NGE07,394.7845805,229.5026101,11.50244892,32.52518123,16.34929034,1045.236726,19.85861261,0.004421247,0.014767747,2.594421273,280.51666666666665,177.9,247.75,0.2753103612926362,-0.5114014108595081,0.2399722625722766
RW,Female,SGN09,442.2902494,236.0820044,21.57927027,70.3655517,45.42677767,1124.335429,18.02263332,0.004082879,0.020509169,1.587903377,250.95,303.3833333333333,199.73333333333332,-0.051707833379482024,0.4971073712183944,-0.24719678260627873
RW,Female,SHA04,408.2993197,187.6548599,23.17814844,128.4790873,-35.82837035,1035.981649,16.79555997,0.003964578,0.029808179,1.920127788,272.18333333333334,330.73333333333335,218.23333333333332,0.12952965532758334,0.7131943230456665,-0.030605387820581392
RW,Female,TRE11,426.9614512,239.0778372,12.66930154,46.51118019,-19.51722618,1035.71922,22.36749654,0.003225165,0.022328793,2.096406607,187.06666666666666,120.1,216.38333333333333,-0.5153230955947773,-0.9506543669150044,-0.06008822173945716
RW,Female,gm_F02,450.1814059,235.5307609,26.72509239,99.51162968,-61.59175897,1062.054943,18.2734793,0.003546517,0.016743871,1.848881851,320.56666666666666,268.01666666666665,286.21666666666664,0.5945475547154779,0.20154339784395398,0.568156872316384
RW,Female,gm_F03,379.3197279,218.8206141,9.82053087,32.70893723,6.728986579,1193.329985,19.9819147,0.00483706,0.014476642,2.414798149,253.63333333333333,146.03333333333333,243.55,0.002186937298781329,-0.7728845132705229,0.19706124847131679
RW,Female,gm_F04,318.3446712,217.6616441,10.04750837,49.71154258,-3.474928964,1127.863741,21.51452369,0.0047447,0.014207507,2.266965026,232.76666666666668,183.05,220.03333333333333,-0.1735419418518301,-0.4748270174679415,-0.036701783553265074
RW,Female,gm_F05,376.0544218,266.8216585,18.28316369,64.77404491,11.01638414,1088.909866,18.15569319,0.004238859,0.013454157,1.62505063,214.28333333333333,357.8666666666667,155.18333333333334,-0.42599467319433226,0.9441282465121704,-0.682491147465051
RW,Female,gm_F06,403.2653061,250.559703,6.012527487,30.94271195,-7.260233383,1222.68614,24.22387339,0.00414696,0.008720985,3.161667598,190.33333333333334,124.75,190.23333333333332,-0.5106239143590576,-0.9342011410040839,-0.34078683621007705
RW,Female,gm_F08,323.1292517,183.1954187,14.64544658,53.69668945,-20.83352395,1175.646223,12.76939429,0.013233787,0.047889319,2.409741806,187.7,251.5,155.45,-0.5633019175074071,0.10999275339153002,-0.6642200957005359
RW,Female,gm_F09,358.1179138,222.974023,19.08119236,79.7684458,-32.58124143,1077.588506,23.44153199,0.005937815,0.011553097,2.782350656,207.11666666666667,149.01666666666668,179.43333333333334,-0.36644039965486036,-0.7328502672534544,-0.430932173799693
RW,Female,gm_F10,373.9229025,227.8781376,32.12512511,88.09546876,-61.4307278,1056.41844,17.2079596,0.004806861,0.022655754,1.754194264,353.4166666666667,270.53333333333336,291.68333333333334,0.9320426645122847,0.19716147248369084,0.6640972909897588
RW,Female,gm_F11,373.7868481,188.3362345,7.964882241,25.17329301,4.531432518,1160.127147,21.13087184,0.004905723,0.024254228,2.483689994,190.75,151.15,184.4,-0.5455174254342787,-0.723981122416735,-0.38537399302247055
RW,Female,gm_F14,463.3333333,204.9849049,59.05375032,186.4049797,-114.4545288,1038.655223,17.03412161,0.006232492,0.023862174,2.947652558,280.81666666666666,203.33333333333334,245.03333333333333,0.2521024988064973,-0.27821146845157047,0.23047861008092102
RW,Female,gm_F15,372.585034,284.7513669,37.68673172,136.2265667,-6.493048144,1011.073577,19.65113186,0.002829117,0.013956236,2.214649866,338.1666666666667,234.55,258.25,0.8104474489622827,-0.07148805245522653,0.34563087456279706
RW,Female,gm_F16,435.3968254,234.0948536,9.353756973,40.35643741,12.62768045,1065.797375,22.51688421,0.008730516,0.013972976,2.451545995,236.43333333333334,189.1,205.06666666666666,-0.13083049335685115,-0.4308606770430584,-0.16433377305113198
RW,Female,gm_F17,426.3265306,237.8903451,24.4350999,83.41485134,-30.0813779,992.938543,18.99127351,0.006724264,0.014726866,1.739616276,291.3833333333333,272.05,240.95,0.3407740648959965,0.28904211409943725,0.16460469002216624
RW,Female,gm_F18,433.6734694,187.1075442,56.69345387,196.9072245,129.0033905,1048.029831,14.43266924,0.009688847,0.046207656,1.642750262,216.81666666666666,88.41666666666667,276.03333333333336,-0.2846584155437326,-1.2559099307750663,0.5442821453545444
RW,Female,gm_F22,274.9886621,200.2834665,12.00719524,51.12627339,-15.81212463,1050.834239,17.34312836,0.008121173,0.023831351,2.092737209,235.08333333333334,269.26666666666665,200.65,-0.1629673562176754,0.24170493784988314,-0.2058385640342769
RW,Female,gm_F23,325.1247166,269.8510331,21.23919551,59.70186879,40.5391961,1169.201277,18.38194284,0.006110268,0.019694509,2.069843412,288.03333333333336,203.46666666666667,270.95,0.34786547605440304,-0.2933792966262286,0.44390475660535117
